Rk,Player,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,MVP
1,Precious Achiuwa,2023-24,24,NYKTOR,74,18,0,1624,235,469,209,372,26,97,69,112,191,296,487,97,46,68,83,143,565,0.501,0.562,0.268,0.616,0.545,0.529,F,FALSE
2,Bam Adebayo,2023-24,26,MIA,71,71,1,2416,530,1017,515,975,15,42,292,387,159,578,737,278,81,66,162,159,1367,0.521,0.528,0.357,0.755,0.576,0.529,C-F,FALSE
3,Ochai Agbaji,2023-24,23,TORUTA,78,28,0,1641,178,433,116,222,62,211,37,56,74,142,216,83,47,44,64,117,455,0.411,0.523,0.294,0.661,0.497,0.483,G,FALSE
4,Santi Aldama,2023-24,23,MEM,61,35,0,1618,247,568,141,264,106,304,54,87,72,280,352,138,43,54,69,89,654,0.435,0.534,0.349,0.621,0.539,0.528,F,FALSE
5,Nickeil Alexander-Walker,2023-24,25,MIN,82,20,0,1921,236,538,105,203,131,335,52,65,35,132,167,204,64,42,76,143,655,0.439,0.517,0.391,0.8,0.578,0.56,G,FALSE
6,Grayson Allen,2023-24,28,PHO,75,74,0,2513,340,682,135,237,205,445,129,147,48,247,295,227,69,45,95,157,1014,0.499,0.57,0.461,0.878,0.679,0.649,G,FALSE
7,Jarrett Allen,2023-24,25,CLE,77,77,0,2442,519,819,519,813,0,6,233,314,243,568,811,210,53,81,121,147,1271,0.634,0.638,0,0.742,0.664,0.634,C-F,FALSE
8,Timmy Allen,2023-24,24,MEM,5,0,0,125,6,23,6,16,0,7,1,2,4,13,17,5,4,0,2,18,13,0.261,0.375,0,0.5,0.272,0.261,F,FALSE
9,Jose Alvarado,2023-24,25,NOP,56,0,0,1028,142,345,64,138,78,207,35,52,25,103,128,117,59,15,40,89,397,0.412,0.464,0.377,0.673,0.54,0.525,G,FALSE
10,Kyle Anderson,2023-24,30,MIN,79,10,0,1782,199,433,188,385,11,48,97,137,60,213,273,331,71,47,91,128,506,0.46,0.488,0.229,0.708,0.513,0.472,F-G,FALSE
11,Giannis Antetokounmpo,2023-24,29,MIL,73,73,1,2567,837,1369,803,1245,34,124,514,782,196,645,841,476,87,79,250,210,2222,0.611,0.645,0.274,0.657,0.649,0.624,F-G,FALSE
12,Thanasis Antetokounmpo,2023-24,31,MIL,34,0,0,155,16,30,16,29,0,1,0,2,7,6,13,17,7,4,14,24,32,0.533,0.552,0,0,0.518,0.533,F,FALSE
13,Cole Anthony,2023-24,23,ORL,81,0,0,1817,332,763,239,488,93,275,180,218,64,247,311,236,64,37,126,175,937,0.435,0.49,0.338,0.826,0.545,0.496,G,FALSE
14,OG Anunoby,2023-24,26,NYKTOR,50,50,0,1702,282,577,180,310,102,267,67,89,47,161,208,107,68,36,81,119,733,0.489,0.581,0.382,0.753,0.595,0.577,F,FALSE
15,Ryan Arcidiacono,2023-24,29,NYK,20,0,0,45,0,6,0,0,0,6,0,0,0,8,8,4,2,0,2,5,0,0,,0,,0,0,G,FALSE
16,Deni Avdija,2023-24,23,WAS,75,75,0,2257,406,803,318,568,88,235,202,273,84,456,540,286,60,36,160,185,1102,0.506,0.56,0.374,0.74,0.597,0.56,G-F,FALSE
17,Deandre Ayton,2023-24,25,POR,55,55,0,1784,427,749,426,739,1,10,65,79,176,433,609,90,56,42,99,109,920,0.57,0.576,0.1,0.823,0.587,0.571,C,FALSE
18,Udoka Azubuike,2023-24,24,PHO,16,0,0,113,16,23,16,23,0,0,3,13,11,21,32,3,1,6,4,17,35,0.696,0.696,,0.231,0.609,0.696,C,FALSE
19,Ibou Badji,2023-24,21,POR,22,1,0,226,14,22,14,22,0,0,6,12,20,31,51,13,3,20,15,46,34,0.636,0.636,,0.5,0.623,0.636,C,FALSE
20,Marvin Bagley III,2023-24,24,DETWAS,50,25,0,1053,239,408,230,385,9,23,96,126,130,182,312,55,20,33,59,81,583,0.586,0.597,0.391,0.762,0.629,0.597,F-C,FALSE
21,Amari Bailey,2023-24,19,CHO,10,0,0,65,8,24,7,16,1,8,6,7,6,3,9,7,3,0,4,2,23,0.333,0.438,0.125,0.857,0.425,0.354,G,FALSE
22,Patrick Baldwin Jr.,2023-24,21,WAS,38,7,0,493,59,155,28,58,31,97,19,28,17,106,123,29,18,15,19,56,168,0.381,0.483,0.32,0.679,0.502,0.481,G-F,FALSE
23,LaMelo Ball,2023-24,22,CHO,22,22,0,711,183,423,113,226,70,197,90,104,29,84,113,176,40,4,83,79,526,0.433,0.5,0.355,0.865,0.561,0.515,G,FALSE
24,Mo Bamba,2023-24,25,PHI,57,17,0,740,97,198,72,134,25,64,34,50,77,161,238,41,22,60,39,101,253,0.49,0.537,0.391,0.68,0.575,0.553,C,FALSE
25,Paolo Banchero,2023-24,21,ORL,80,80,1,2799,640,1407,521,1056,119,351,405,559,82,472,554,431,71,47,247,153,1804,0.455,0.493,0.339,0.725,0.546,0.497,F,FALSE
26,Desmond Bane,2023-24,25,MEM,42,42,0,1443,360,776,223,416,137,360,140,161,36,149,185,230,43,22,112,120,997,0.464,0.536,0.381,0.87,0.589,0.552,G,FALSE
27,Dalano Banton,2023-24,24,BOSPOR,54,9,0,1047,202,500,143,301,59,199,94,120,41,137,178,127,33,20,77,64,557,0.404,0.475,0.296,0.783,0.504,0.463,G-F,FALSE
28,Dominick Barlow,2023-24,20,SAS,33,1,0,420,56,113,53,104,3,9,29,42,45,68,113,36,12,14,9,47,144,0.496,0.51,0.333,0.69,0.548,0.509,F,FALSE
29,Harrison Barnes,2023-24,31,SAC,82,82,0,2381,347,732,198,347,149,385,157,196,67,182,249,99,54,12,58,98,1000,0.474,0.571,0.387,0.801,0.611,0.576,F,FALSE
30,Scottie Barnes,2023-24,22,TOR,60,60,1,2094,447,942,346,646,101,296,196,251,141,353,494,363,75,88,165,118,1191,0.475,0.536,0.341,0.781,0.566,0.528,G-F,FALSE
31,RJ Barrett,2023-24,23,NYKTOR,58,58,0,1838,436,880,346,630,90,250,208,291,53,262,315,193,31,22,126,129,1170,0.495,0.549,0.36,0.715,0.58,0.547,G-F,FALSE
32,Charles Bassey,2023-24,23,SAS,19,0,0,205,29,40,29,39,0,1,5,6,23,53,76,21,8,17,15,31,63,0.725,0.744,0,0.833,0.739,0.725,C,FALSE
33,Emoni Bates,2023-24,20,CLE,15,0,0,133,15,49,5,16,10,33,1,4,1,13,14,10,1,2,8,5,41,0.306,0.313,0.303,0.25,0.404,0.408,G,FALSE
34,Keita Bates-Diop,2023-24,28,BRKPHO,53,8,0,665,72,166,51,97,21,69,32,42,31,79,110,38,25,22,15,35,197,0.434,0.526,0.304,0.762,0.534,0.497,F,FALSE
35,Nicolas Batum,2023-24,35,LACPHI,60,38,0,1529,116,256,43,71,73,185,15,21,70,178,248,128,48,38,40,109,320,0.453,0.606,0.395,0.714,0.603,0.596,F-G,FALSE
36,Darius Bazley,2023-24,23,PHIUTA,9,0,0,152,18,30,16,22,2,8,10,12,8,20,28,7,6,7,8,3,48,0.6,0.727,0.25,0.833,0.68,0.633,F,FALSE
37,Bradley Beal,2023-24,30,PHO,53,53,0,1767,377,735,276,500,101,235,109,134,54,178,232,265,52,27,131,127,964,0.513,0.552,0.43,0.813,0.607,0.582,G,FALSE
38,Malik Beasley,2023-24,27,MIL,79,77,0,2337,320,722,96,180,224,542,25,35,41,249,290,108,59,9,54,158,889,0.443,0.533,0.413,0.714,0.603,0.598,G,FALSE
39,MarJon Beauchamp,2023-24,23,MIL,48,1,0,608,81,166,51,91,30,75,19,28,22,77,99,31,13,7,27,54,211,0.488,0.56,0.4,0.679,0.592,0.578,G,FALSE
40,Jules Bernard,2023-24,24,WAS,19,0,0,149,29,64,18,35,11,29,5,9,10,16,26,16,3,1,8,14,74,0.453,0.514,0.379,0.556,0.544,0.539,F,FALSE
41,Dāvis Bertāns,2023-24,31,CHOOKC,43,1,0,674,92,234,16,34,76,200,30,33,9,52,61,35,26,12,18,56,290,0.393,0.471,0.38,0.909,0.583,0.556,F,FALSE
42,Patrick Beverley,2023-24,35,MILPHI,73,13,0,1462,158,379,97,198,61,181,74,90,49,190,239,212,43,31,65,128,451,0.417,0.49,0.337,0.822,0.539,0.497,G,FALSE
43,Saddiq Bey,2023-24,24,ATL,63,51,0,2062,290,697,177,339,113,358,170,203,167,244,411,92,51,11,54,88,863,0.416,0.522,0.316,0.837,0.549,0.497,F,FALSE
44,Goga Bitadze,2023-24,24,ORL,62,33,0,957,126,209,124,195,2,14,57,87,109,177,286,79,32,72,44,107,311,0.603,0.636,0.143,0.655,0.629,0.608,C,FALSE
45,Onuralp Bitim,2023-24,24,CHI,23,1,0,268,32,84,20,40,12,44,4,5,6,26,32,13,3,2,10,24,80,0.381,0.5,0.273,0.8,0.464,0.452,F,FALSE
46,Bismack Biyombo,2023-24,31,MEMOKC,40,27,0,791,74,131,74,131,0,0,26,54,62,147,209,53,11,37,42,89,174,0.565,0.565,,0.481,0.562,0.565,C-F,FALSE
47,Anthony Black,2023-24,20,ORL,69,33,0,1164,115,247,78,153,37,94,49,80,33,106,139,91,35,21,56,110,316,0.466,0.51,0.394,0.613,0.56,0.54,G,FALSE
48,Leaky Black,2023-24,24,CHO,26,3,0,284,25,52,16,32,9,20,10,15,9,39,48,24,8,11,6,19,69,0.481,0.5,0.45,0.667,0.589,0.567,F,FALSE
49,Buddy Boeheim,2023-24,24,DET,10,0,0,84,9,29,1,4,8,25,8,10,3,7,10,3,0,1,0,5,34,0.31,0.25,0.32,0.8,0.509,0.448,G,FALSE
50,Bogdan Bogdanović,2023-24,31,ATL,79,33,0,2401,471,1100,231,459,240,641,151,164,53,219,272,247,96,26,112,179,1333,0.428,0.503,0.374,0.921,0.569,0.537,G,FALSE
51,Bojan Bogdanović,2023-24,34,DETNYK,57,27,0,1478,309,681,176,347,133,334,117,149,22,130,152,97,30,5,101,95,868,0.454,0.507,0.398,0.785,0.581,0.551,G-F,FALSE
52,Bol Bol,2023-24,24,PHO,43,0,0,469,93,151,71,99,22,52,15,19,32,105,137,17,10,25,19,42,223,0.616,0.717,0.423,0.789,0.7,0.689,F-C,FALSE
53,Marques Bolden,2023-24,25,CHOMIL,11,2,0,121,17,25,17,24,0,1,3,4,10,24,34,4,3,7,3,10,37,0.68,0.708,0,0.75,0.691,0.68,C,FALSE
54,Devin Booker,2023-24,27,PHO,68,68,1,2447,642,1305,490,887,152,418,405,457,56,252,308,472,61,28,178,206,1841,0.492,0.552,0.364,0.886,0.611,0.55,G,FALSE
55,Brandon Boston Jr.,2023-24,22,LAC,32,0,0,345,65,161,51,109,14,52,23,33,19,33,52,13,11,8,24,40,167,0.404,0.468,0.269,0.697,0.476,0.447,G-F,FALSE
56,Chris Boucher,2023-24,31,TOR,50,0,0,705,110,217,79,123,31,94,71,92,62,145,207,23,14,24,28,68,322,0.507,0.642,0.33,0.772,0.625,0.578,F,FALSE
57,James Bouknight,2023-24,23,CHO,14,0,0,81,18,41,5,11,13,30,1,2,1,8,9,6,1,1,2,3,50,0.439,0.455,0.433,0.5,0.597,0.598,G,FALSE
58,Jamaree Bouyea,2023-24,24,PORSAS,9,0,0,95,10,28,9,19,1,9,0,0,3,16,19,11,1,0,9,10,21,0.357,0.474,0.111,,0.375,0.375,G,FALSE
59,Malaki Branham,2023-24,20,SAS,75,29,0,1594,271,628,178,360,93,268,55,63,28,120,148,156,27,8,91,94,690,0.432,0.494,0.347,0.873,0.526,0.506,G,FALSE
60,Christian Braun,2023-24,22,DEN,82,4,0,1655,222,483,159,319,63,164,93,134,79,227,306,132,42,35,55,137,600,0.46,0.498,0.384,0.694,0.554,0.525,G,FALSE
61,Mikal Bridges,2023-24,27,BRK,82,82,0,2854,564,1294,344,702,220,592,258,317,68,304,372,299,81,30,164,116,1606,0.436,0.49,0.372,0.814,0.56,0.521,F-G,FALSE
62,Miles Bridges,2023-24,25,CHO,69,67,0,2581,559,1210,402,760,157,450,174,211,71,434,505,231,65,33,138,118,1449,0.462,0.529,0.349,0.825,0.556,0.527,G-F,FALSE
63,Oshae Brissett,2023-24,25,BOS,55,1,0,630,68,153,53,98,15,55,50,83,61,99,160,44,19,8,20,54,201,0.444,0.541,0.273,0.602,0.53,0.493,F,FALSE
64,Izaiah Brockington,2023-24,24,NOP,1,0,0,3,2,5,2,4,0,1,0,0,1,1,2,0,0,0,0,0,4,0.4,0.5,0,,0.4,0.4,G,FALSE
65,Malcolm Brogdon,2023-24,31,POR,39,25,0,1121,218,496,136,297,82,199,95,116,28,120,148,214,27,8,60,58,613,0.44,0.458,0.412,0.819,0.56,0.522,G,FALSE
66,Armoni Brooks,2023-24,25,BRK,10,0,0,104,15,46,4,14,11,32,1,2,7,11,18,5,1,1,3,3,42,0.326,0.286,0.344,0.5,0.448,0.446,G,FALSE
67,Dillon Brooks,2023-24,28,HOU,72,72,0,2227,329,768,196,398,133,370,124,147,53,193,246,119,64,10,88,241,915,0.428,0.492,0.359,0.844,0.549,0.515,F-G,FALSE
68,Bruce Brown,2023-24,27,INDTOR,67,44,0,1866,278,582,225,418,53,164,117,142,53,231,284,192,59,17,86,148,726,0.478,0.538,0.323,0.824,0.563,0.523,G-F,FALSE
69,Charlie Brown Jr.,2023-24,26,NYK,8,0,0,37,2,10,0,3,2,7,0,0,1,1,2,0,0,2,2,5,6,0.2,0,0.286,,0.3,0.3,G,FALSE
70,Greg Brown III,2023-24,22,DAL,6,0,0,40,5,11,4,8,1,3,4,9,3,6,9,4,0,4,4,5,15,0.455,0.5,0.333,0.444,0.501,0.5,F,FALSE
71,Jaylen Brown,2023-24,27,BOS,70,70,1,2343,627,1256,482,846,145,410,211,300,84,303,387,249,83,37,166,185,1610,0.499,0.57,0.354,0.703,0.58,0.557,F-G,FALSE
72,Kendall Brown,2023-24,20,IND,15,0,0,63,8,15,8,13,0,2,5,8,3,2,5,5,0,0,2,9,21,0.533,0.615,0,0.625,0.567,0.533,G-F,FALSE
73,Kobe Brown,2023-24,24,LAC,44,0,0,394,37,90,23,42,14,48,1,2,20,42,62,25,12,6,9,49,89,0.411,0.548,0.292,0.5,0.49,0.489,G-F,FALSE
74,Moses Brown,2023-24,24,POR,22,5,0,200,33,65,33,65,0,0,9,31,37,49,86,7,5,7,11,27,75,0.508,0.508,,0.29,0.477,0.508,C,FALSE
75,Troy Brown Jr.,2023-24,24,DETMIN,59,15,0,827,84,226,37,85,47,141,32,37,25,119,144,60,24,3,30,42,247,0.372,0.435,0.333,0.865,0.51,0.476,G-F,FALSE
76,Jalen Brunson,2023-24,27,NYK,77,77,1,2726,790,1648,579,1122,211,526,421,497,43,235,278,519,70,13,186,144,2212,0.479,0.516,0.401,0.847,0.592,0.543,G,FALSE
77,Thomas Bryant,2023-24,26,MIA,38,4,0,441,86,149,82,127,4,22,41,47,40,101,141,23,10,16,21,46,217,0.577,0.646,0.182,0.872,0.639,0.591,C,FALSE
78,Kobe Bufkin,2023-24,20,ATL,17,0,0,196,34,92,25,52,9,40,4,8,6,27,33,27,7,5,10,20,81,0.37,0.481,0.225,0.5,0.424,0.418,G,FALSE
79,Reggie Bullock,2023-24,32,HOU,44,0,0,417,34,82,7,15,27,67,1,1,6,67,73,15,12,5,10,29,96,0.415,0.467,0.403,1,0.582,0.579,G-F,FALSE
80,Alec Burks,2023-24,32,DETNYK,66,1,0,1212,210,569,86,239,124,330,145,167,24,126,150,88,28,12,48,75,689,0.369,0.36,0.376,0.868,0.536,0.478,G,FALSE
81,Jared Butler,2023-24,23,WAS,40,0,0,566,98,201,74,123,24,78,31,36,9,49,58,126,29,8,50,58,251,0.488,0.602,0.308,0.861,0.579,0.547,G,FALSE
82,Jimmy Butler,2023-24,34,MIA,60,60,0,2042,396,793,336,648,60,145,394,459,105,213,318,298,79,17,102,68,1246,0.499,0.519,0.414,0.858,0.626,0.537,F-G,FALSE
83,Jamal Cain,2023-24,24,MIA,26,1,0,259,34,79,23,48,11,31,18,23,15,22,37,10,10,5,8,22,97,0.43,0.479,0.355,0.783,0.544,0.5,F,FALSE
84,Kentavious Caldwell-Pope,2023-24,30,DEN,76,76,0,2402,270,587,145,279,125,308,101,113,31,152,183,183,98,42,75,151,766,0.46,0.52,0.406,0.894,0.602,0.566,G,FALSE
85,Toumani Camara,2023-24,23,POR,70,49,0,1739,197,438,139,266,58,172,75,99,139,204,343,87,66,33,84,174,527,0.45,0.523,0.337,0.758,0.547,0.516,F,FALSE
86,Clint Capela,2023-24,29,ATL,73,73,0,1883,353,618,353,617,0,1,130,206,335,441,776,91,43,106,74,164,836,0.571,0.572,0,0.631,0.59,0.571,C,FALSE
87,Jevon Carter,2023-24,28,CHI,72,0,0,1004,138,365,61,131,77,234,4,7,11,49,60,94,37,16,36,71,357,0.378,0.466,0.329,0.571,0.485,0.484,G,FALSE
88,Wendell Carter Jr.,2023-24,24,ORL,55,48,0,1406,223,425,159,254,64,171,93,134,112,269,381,95,35,28,68,121,603,0.525,0.626,0.374,0.694,0.623,0.6,C,FALSE
89,D.J. Carton,2023-24,23,TOR,4,0,0,36,3,8,2,4,1,4,4,5,2,2,4,3,1,0,1,3,11,0.375,0.5,0.25,0.8,0.539,0.438,G,FALSE
90,Alex Caruso,2023-24,29,CHI,71,57,0,2040,253,541,117,208,136,333,73,96,62,211,273,247,120,70,102,181,715,0.468,0.563,0.408,0.76,0.613,0.593,G,FALSE
91,Colin Castleton,2023-24,23,LAL,16,0,0,59,9,16,9,16,0,0,6,6,6,6,12,3,2,0,3,11,24,0.563,0.563,,1,0.644,0.563,F,FALSE
92,Malcolm Cazalon,2023-24,22,DET,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,G,FALSE
93,Justin Champagnie,2023-24,22,WAS,15,1,0,235,32,78,19,33,13,45,12,15,19,34,53,19,10,9,10,14,89,0.41,0.576,0.289,0.8,0.526,0.494,F,FALSE
94,Julian Champagnie,2023-24,22,SAS,74,59,0,1468,164,402,63,125,101,277,75,92,42,164,206,103,48,42,57,77,504,0.408,0.504,0.365,0.815,0.57,0.534,F,FALSE
95,Max Christie,2023-24,20,LAL,67,7,0,944,103,241,61,123,42,118,36,46,15,127,142,60,20,17,35,57,284,0.427,0.496,0.356,0.783,0.544,0.515,G,FALSE
96,Sidy Cissoko,2023-24,19,SAS,12,0,0,141,16,33,15,21,1,12,12,15,8,14,22,10,7,3,3,18,45,0.485,0.714,0.083,0.8,0.568,0.5,G,FALSE
97,Brandon Clarke,2023-24,27,MEM,6,1,0,134,33,59,32,53,1,6,1,7,13,19,32,9,5,6,3,8,68,0.559,0.604,0.167,0.143,0.548,0.568,F,FALSE
98,Jordan Clarkson,2023-24,31,UTA,55,19,0,1682,337,816,246,507,91,309,177,201,49,139,188,277,35,6,146,81,942,0.413,0.485,0.294,0.881,0.521,0.469,G,FALSE
99,Nic Claxton,2023-24,24,BRK,71,71,0,2116,366,582,365,577,1,5,108,196,193,513,706,147,46,146,93,175,841,0.629,0.633,0.2,0.551,0.629,0.63,C,FALSE
100,Noah Clowney,2023-24,19,BRK,23,4,0,370,50,93,38,60,12,33,21,30,26,55,81,18,8,16,15,25,133,0.538,0.633,0.364,0.7,0.626,0.602,F,FALSE
101,Amir Coffey,2023-24,26,LAC,70,13,0,1460,166,352,96,168,70,184,61,71,29,119,148,76,41,14,33,102,463,0.472,0.571,0.38,0.859,0.604,0.571,G,FALSE
102,John Collins,2023-24,26,UTA,68,66,0,1901,397,746,311,514,86,232,147,185,157,418,575,77,40,61,98,191,1027,0.532,0.605,0.371,0.795,0.621,0.59,F,FALSE
103,Zach Collins,2023-24,26,SAS,69,29,0,1526,298,616,240,435,58,181,122,162,118,252,370,194,34,52,132,206,776,0.484,0.552,0.32,0.753,0.565,0.531,C-F,FALSE
104,Mike Conley,2023-24,36,MIN,76,76,0,2193,294,644,115,239,179,405,102,112,37,181,218,449,88,17,102,128,869,0.457,0.481,0.442,0.911,0.627,0.595,G,FALSE
105,Pat Connaughton,2023-24,31,MIL,76,3,0,1676,151,347,69,109,82,238,44,58,51,188,239,161,40,19,49,99,428,0.435,0.633,0.345,0.759,0.574,0.553,G,FALSE
106,Bilal Coulibaly,2023-24,19,WAS,63,15,0,1715,188,432,124,247,64,185,92,131,56,200,256,110,57,48,87,137,532,0.435,0.502,0.346,0.702,0.543,0.509,F,FALSE
107,Ricky Council IV,2023-24,22,PHI,32,0,0,289,54,112,42,80,12,32,53,71,14,32,46,16,8,1,5,17,173,0.482,0.525,0.375,0.746,0.604,0.536,G,FALSE
108,Robert Covington,2023-24,33,LACPHI,29,6,0,488,43,98,24,42,19,56,22,26,31,66,97,24,39,18,11,56,127,0.439,0.571,0.339,0.846,0.58,0.536,F-C,FALSE
109,Torrey Craig,2023-24,33,CHI,53,14,0,1049,108,251,48,98,60,153,27,36,69,148,217,58,30,21,32,110,303,0.43,0.49,0.392,0.75,0.568,0.55,G-F,FALSE
110,Jae Crowder,2023-24,33,MIL,50,25,0,1156,114,270,56,104,58,166,26,36,31,130,161,66,38,9,23,74,312,0.422,0.538,0.349,0.722,0.546,0.53,F,FALSE
111,Jalen Crutcher,2023-24,24,NOP,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,G,FALSE
112,Cade Cunningham,2023-24,22,DET,62,62,0,2074,524,1167,405,832,119,335,238,274,33,235,268,464,56,22,212,153,1405,0.449,0.487,0.355,0.869,0.546,0.5,G,FALSE
113,Seth Curry,2023-24,33,CHODAL,44,4,0,616,80,204,42,96,38,108,28,31,18,50,68,44,22,6,21,39,226,0.392,0.438,0.352,0.903,0.519,0.485,G,FALSE
114,Stephen Curry,2023-24,35,GSW,74,74,1,2421,650,1445,293,569,357,876,299,324,37,293,330,379,54,28,210,117,1956,0.45,0.515,0.408,0.923,0.616,0.573,G,FALSE
115,Dyson Daniels,2023-24,20,NOP,61,16,0,1358,139,311,97,176,42,135,34,53,62,174,236,164,85,25,59,101,354,0.447,0.551,0.311,0.642,0.529,0.514,G,FALSE
116,Anthony Davis,2023-24,30,LAL,76,76,1,2700,713,1283,684,1176,29,107,421,516,239,722,961,266,91,178,159,177,1876,0.556,0.582,0.271,0.816,0.621,0.567,F-C,FALSE
117,JD Davison,2023-24,21,BOS,8,0,0,39,5,12,2,5,3,7,3,4,2,8,10,10,1,1,2,4,16,0.417,0.4,0.429,0.75,0.581,0.542,G,FALSE
118,Johnny Davis,2023-24,21,WAS,50,6,0,613,62,154,48,114,14,40,14,24,18,54,72,32,18,10,13,57,152,0.403,0.421,0.35,0.583,0.462,0.448,G,FALSE
119,Dexter Dennis,2023-24,24,DAL,4,0,0,30,10,19,9,11,1,8,1,3,1,8,9,4,0,1,3,1,22,0.526,0.818,0.125,0.333,0.541,0.553,G,FALSE
120,DeMar DeRozan,2023-24,34,CHI,79,79,0,2989,650,1355,575,1130,75,225,522,612,43,297,340,421,90,45,135,161,1897,0.48,0.509,0.333,0.853,0.584,0.507,G-F,FALSE
121,Moussa Diabaté,2023-24,22,LAC,11,0,0,64,10,19,10,19,0,0,9,14,15,9,24,4,5,1,2,4,29,0.526,0.526,,0.643,0.576,0.526,F,FALSE
122,Mamadi Diakite,2023-24,27,NYKSAS,6,0,0,24,4,6,4,5,0,1,4,6,1,3,4,2,1,1,1,2,12,0.667,0.8,0,0.667,0.694,0.667,F,FALSE
123,Hamidou Diallo,2023-24,25,WAS,2,0,0,5,1,2,1,2,0,0,0,0,2,0,2,1,2,0,1,1,2,0.5,0.5,,,0.5,0.5,G,FALSE
124,Gradey Dick,2023-24,20,TOR,60,17,0,1268,189,445,101,204,88,241,44,51,27,105,132,68,34,2,50,87,510,0.425,0.495,0.365,0.863,0.546,0.524,G,FALSE
125,Ousmane Dieng,2023-24,20,OKC,33,0,0,365,49,116,28,46,21,70,14,16,10,41,51,37,8,5,19,22,133,0.422,0.609,0.3,0.875,0.54,0.513,F,FALSE
126,Spencer Dinwiddie,2023-24,30,BRKLAL,76,52,0,2152,251,640,127,272,124,368,169,210,30,175,205,356,51,22,91,138,795,0.392,0.467,0.337,0.805,0.543,0.489,G,FALSE
127,Donte DiVincenzo,2023-24,27,NYK,81,63,0,2360,445,1004,162,299,283,705,86,114,63,234,297,216,107,36,113,166,1259,0.443,0.542,0.401,0.754,0.597,0.584,G,FALSE
128,Luka Dončić,2023-24,24,DAL,70,70,1,2624,804,1652,520,908,284,744,478,608,59,588,647,686,99,38,282,149,2370,0.487,0.573,0.382,0.786,0.617,0.573,G-F,FALSE
129,Luguentz Dort,2023-24,24,OKC,79,79,0,2246,288,657,132,261,156,396,128,155,74,210,284,113,72,47,74,228,860,0.438,0.506,0.394,0.826,0.593,0.557,G,FALSE
130,Ayo Dosunmu,2023-24,24,CHI,76,37,0,2212,360,719,241,424,119,295,85,105,54,162,216,242,68,36,103,166,924,0.501,0.568,0.403,0.81,0.604,0.583,G,FALSE
131,Jeff Dowtin,2023-24,26,PHI,12,0,0,142,20,36,11,17,9,19,3,4,3,17,20,27,7,1,5,1,52,0.556,0.647,0.474,0.75,0.689,0.681,G,FALSE
132,Henri Drell,2023-24,23,CHI,4,0,0,30,4,10,2,4,2,6,1,2,1,3,4,4,2,1,2,6,11,0.4,0.5,0.333,0.5,0.506,0.5,G,FALSE
133,Andre Drummond,2023-24,30,CHI,79,10,0,1351,267,480,267,477,0,3,129,218,265,443,708,37,73,48,81,140,663,0.556,0.56,0,0.592,0.576,0.556,C,FALSE
134,Chris Duarte,2023-24,26,SAC,59,11,0,719,80,210,36,83,44,127,26,33,26,80,106,44,28,8,26,80,230,0.381,0.434,0.346,0.788,0.512,0.486,G,FALSE
135,David Duke Jr.,2023-24,24,SAS,4,0,0,51,10,18,7,12,3,6,3,3,2,8,10,5,2,0,3,4,26,0.556,0.583,0.5,1,0.673,0.639,G,FALSE
136,Kris Dunn,2023-24,29,UTA,66,32,0,1249,147,313,106,202,41,111,22,32,50,139,189,254,68,28,79,135,357,0.47,0.525,0.369,0.688,0.546,0.535,G,FALSE
137,Kevin Durant,2023-24,35,PHO,75,75,1,2791,751,1436,583,1029,168,407,362,423,41,454,495,378,69,91,244,133,2032,0.523,0.567,0.413,0.856,0.626,0.581,F-G,FALSE
138,Jalen Duren,2023-24,20,DET,61,60,0,1777,349,564,349,560,0,4,143,181,192,517,709,147,33,47,129,192,841,0.619,0.623,0,0.79,0.653,0.619,C,FALSE
139,Tari Eason,2023-24,22,HOU,22,0,0,480,88,189,70,139,18,50,21,33,46,107,153,27,31,19,20,51,215,0.466,0.504,0.36,0.636,0.528,0.513,F,FALSE
140,Anthony Edwards,2023-24,22,MIN,79,78,1,2770,718,1558,528,1026,190,532,423,506,52,378,430,405,101,42,241,141,2049,0.461,0.515,0.357,0.836,0.575,0.522,G-F,FALSE
141,Kessler Edwards,2023-24,23,SAC,54,0,0,275,34,82,14,30,20,52,5,9,9,33,42,15,10,4,4,26,93,0.415,0.467,0.385,0.556,0.541,0.537,F,FALSE
142,Keon Ellis,2023-24,24,SAC,57,21,0,978,107,232,37,64,70,168,26,35,32,92,124,85,51,29,37,112,310,0.461,0.578,0.417,0.743,0.627,0.612,G,FALSE
143,Joel Embiid,2023-24,29,PHI,39,39,1,1309,450,851,396,712,54,139,399,452,95,335,430,219,46,66,150,112,1353,0.529,0.556,0.388,0.883,0.644,0.561,C,FALSE
144,Drew Eubanks,2023-24,26,PHO,75,6,0,1169,152,253,149,250,3,3,72,93,103,219,322,63,27,61,61,115,379,0.601,0.596,1,0.774,0.645,0.607,F,FALSE
