Rk,Player,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,MVP
2538,Kyle Kuzma,2019-20,24,LAL,61,9,0,1526,291,668,205,396,86,272,114,155,52,221,273,80,28,26,91,126,782,0.436,0.518,0.316,0.735,0.531,0.5,F,FALSE
2539,Skal Labissière,2019-20,23,POR,33,1,0,567,81,147,78,134,3,13,25,33,65,104,169,42,7,31,30,89,190,0.551,0.582,0.231,0.758,0.588,0.561,F,FALSE
2540,Jeremy Lamb,2019-20,27,IND,46,42,0,1291,216,479,163,321,53,158,92,110,24,176,200,96,55,22,50,104,577,0.451,0.508,0.335,0.836,0.547,0.506,G-F,FALSE
2541,Romeo Langford,2019-20,20,BOS,32,2,0,370,28,80,23,53,5,27,18,25,15,26,41,13,8,8,11,33,79,0.35,0.434,0.185,0.72,0.434,0.381,G,FALSE
2542,Zach LaVine,2019-20,24,CHI,60,60,0,2085,539,1199,355,715,184,484,268,334,41,248,289,254,88,28,206,131,1530,0.45,0.497,0.38,0.802,0.568,0.526,G-F,FALSE
2543,Vic Law,2019-20,24,ORL,8,0,0,62,6,18,5,11,1,7,2,6,2,9,11,3,2,0,2,6,15,0.333,0.455,0.143,0.333,0.363,0.361,F,FALSE
2544,Jake Layman,2019-20,25,MIN,23,2,0,505,81,179,57,107,24,72,24,32,17,40,57,15,17,10,24,47,210,0.453,0.533,0.333,0.75,0.544,0.52,F,FALSE
2545,T.J. Leaf,2019-20,22,IND,28,1,0,222,36,86,31,68,5,18,7,16,23,48,71,9,10,4,8,22,84,0.419,0.456,0.278,0.438,0.451,0.448,F,FALSE
2546,Jalen Lecque,2019-20,19,PHO,5,0,0,32,4,10,4,6,0,4,2,2,0,2,2,2,0,0,2,3,10,0.4,0.667,0,1,0.46,0.4,G,FALSE
2547,Courtney Lee,2019-20,34,DAL,24,9,0,345,40,82,19,35,21,47,6,7,7,25,32,12,18,6,11,33,107,0.488,0.543,0.447,0.857,0.629,0.616,G,FALSE
2548,Damion Lee,2019-20,27,GSW,49,36,0,1423,213,511,128,272,85,239,110,126,32,207,239,133,50,6,67,116,621,0.417,0.471,0.356,0.873,0.548,0.5,G,FALSE
2549,Alex Len,2019-20,26,ATLSAC,55,12,0,970,177,319,161,260,16,59,68,105,100,221,321,50,23,48,55,127,438,0.555,0.619,0.271,0.648,0.6,0.58,C,FALSE
2550,Kawhi Leonard,2019-20,28,LAC,57,57,1,1848,532,1133,409,808,123,325,356,402,54,348,402,280,103,33,149,113,1543,0.47,0.506,0.378,0.886,0.589,0.524,F,FALSE
2551,Meyers Leonard,2019-20,27,MIA,51,49,0,1034,119,234,66,106,53,128,18,28,30,230,260,55,14,15,39,107,309,0.509,0.623,0.414,0.643,0.627,0.622,C-F,FALSE
2552,Caris LeVert,2019-20,25,BRK,45,31,0,1330,311,732,231,512,80,220,140,197,49,140,189,199,53,10,118,81,842,0.425,0.451,0.364,0.711,0.514,0.48,G-F,FALSE
2553,Damian Lillard,2019-20,29,POR,66,66,1,2474,624,1349,354,675,270,674,460,518,33,251,284,530,70,22,194,114,1978,0.463,0.524,0.401,0.888,0.627,0.563,G,FALSE
2554,Nassir Little,2019-20,19,POR,48,5,0,573,65,151,51,92,14,59,28,44,31,77,108,22,13,14,15,72,172,0.43,0.554,0.237,0.636,0.505,0.477,F,FALSE
2555,Kevon Looney,2019-20,23,GSW,20,4,0,262,29,79,28,65,1,14,9,12,28,38,66,20,12,6,12,34,68,0.367,0.431,0.071,0.75,0.403,0.373,F-C,FALSE
2556,Brook Lopez,2019-20,31,MIL,68,67,0,1817,292,671,190,346,102,325,127,152,58,254,312,99,46,163,70,163,813,0.435,0.549,0.314,0.836,0.551,0.511,C,FALSE
2557,Robin Lopez,2019-20,31,MIL,66,5,0,958,147,299,112,194,35,105,28,53,56,105,161,45,10,45,63,96,357,0.492,0.577,0.333,0.528,0.554,0.55,C,FALSE
2558,Kevin Love,2019-20,31,CLE,56,56,0,1780,327,727,181,337,146,390,187,219,54,493,547,178,33,19,140,90,987,0.45,0.537,0.374,0.854,0.599,0.55,F-C,FALSE
2559,Kyle Lowry,2019-20,33,TOR,58,58,1,2098,334,803,170,337,164,466,294,343,32,260,292,433,82,26,178,190,1126,0.416,0.504,0.352,0.857,0.59,0.518,G,FALSE
2560,Timothé Luwawu-Cabarrot,2019-20,24,BRK,47,2,0,853,117,269,55,109,62,160,69,81,29,98,127,29,18,7,37,106,365,0.435,0.505,0.388,0.852,0.599,0.55,F,FALSE
2561,Trey Lyles,2019-20,24,SAS,63,53,0,1271,153,343,88,175,65,168,33,45,71,290,361,69,28,28,39,98,404,0.446,0.503,0.387,0.733,0.557,0.541,F,FALSE
